Year,Pop,calBP
1000,176022.567,950.5
1020.526316,172637.5176,929.9736842
1050.526316,164174.8942,899.9736842
1083.684211,160789.8449,866.8157895
1119.210526,160789.8449,831.2894737
1152.368421,164174.8942,798.1315789
1186.315789,172637.5176,764.1842105
1220.263158,186177.7151,730.2368421
1258.947368,206488.0113,691.5526316
1293.684211,225105.7828,656.8157895
1328.421053,252186.1777,622.0789474
1358.421053,282651.622,592.0789474
1383.684211,326657.2638,566.8157895
1408.157895,387588.1523,542.3421053
1426.315789,456981.6643,524.1842105
1446.842105,548377.9972,503.6578947
1464.210526,661777.1509,486.2894737
1480.789474,797179.1255,469.7105263
1495,934273.6248,455.5
1507.631579,1056135.402,442.8684211
1513.947368,1147531.735,436.5526316
1521.842105,1184767.278,428.6578947
1531.315789,1095063.47,419.1842105
1538.421053,976586.7419,412.0789474
1543.157895,861495.0635,407.3421053
1547.894737,714245.4161,402.6052632
1553.421053,590691.1142,397.0789474
1562.894737,460366.7137,387.6052632
1573.947368,360507.7574,376.5526316
1592.105263,258956.2764,358.3947368
1611.052632,199717.9126,339.4473684
1641.842105,176022.567,308.6578947
1670.263158,176022.567,280.2368421
1693.157895,196332.8632,257.3421053
1720,248801.1283,230.5
1746.052632,318194.6403,204.4473684
1767.368421,382510.5783,183.1315789
1780,423131.1707,170.5
1788.684211,465444.2877,161.8157895
1807.631579,509449.9295,142.8684211
1826.578947,551763.0465,123.9210526
1850.263158,607616.3611,100.2368421
1865.263158,671932.299,85.23684211
1875.526316,729478.1382,74.97368421
1879.473684,761636.1072,71.02631579
